Ligne;Ligne Q qualif;Ligne approfondissement Accident;ACCIDENT;NBACC1;ACCFREQUENCE1;ANNEEACC1_1;ANNEEACC1_2;ANNEEACC1_3;ANNEEACC1_4;ANNEEACC1_5;NBACC2;ACCFREQUENCE2;ANNEEACC2_1;ANNEEACC2_2;ANNEEACC2_3;ANNEEACC2_4;ANNEEACC2_5;NBACC3;ACCFREQUENCE3;ANNEEACC3_1;ANNEEACC3_2;ANNEEACC3_3;ANNEEACC3_4;ANNEEACC3_5;NBACC4;ACCFREQUENCE4;ANNEEACC4_1;ANNEEACC4_2;ANNEEACC4_3;ANNEEACC4_4;ANNEEACC4_5;NBACC5;ACCFREQUENCE5;ANNEEACC5_1;ANNEEACC5_2;ANNEEACC5_3;ANNEEACC5_4;ANNEEACC5_5;NBACC6;ACCFREQUENCE6;ANNEEACC6_1;ANNEEACC6_2;ANNEEACC6_3;ANNEEACC6_4;ANNEEACC6_5;NBACC7;ACCFREQUENCE7;ANNEEACC7_1;ANNEEACC7_2;ANNEEACC7_3;ANNEEACC7_4;ANNEEACC7_5;NBACC8;ACCFREQUENCE8;ANNEEACC8_1;ANNEEACC8_2;ANNEEACC8_3;ANNEEACC8_4;ANNEEACC8_5;NBACC9;ACCFREQUENCE9;ANNEEACC9_1;ANNEEACC9_2;ANNEEACC9_3;ANNEEACC9_4;ANNEEACC9_5;NBACC10;ACCFREQUENCE10;ANNEEACC10_1;ANNEEACC10_2;ANNEEACC10_3;ANNEEACC10_4;ANNEEACC10_5;NBACC11;ACCFREQUENCE11;ANNEEACC11_1;ANNEEACC11_2;ANNEEACC11_3;ANNEEACC11_4;ANNEEACC11_5;NBACC12;ACCFREQUENCE12;ANNEEACC12_1;ANNEEACC12_2;ANNEEACC12_3;ANNEEACC12_4;ANNEEACC12_5;NBACC13;ACCFREQUENCE13;ANNEEACC13_1;ANNEEACC13_2;ANNEEACC13_3;ANNEEACC13_4;ANNEEACC13_5;NBACC14;ACCFREQUENCE14;ANNEEACC14_1;ANNEEACC14_2;ANNEEACC14_3;ANNEEACC14_4;ANNEEACC14_5;AUTRESACC;NBAUTRESACC;ANNEEAUTREACC1;ANNEEAUTREACC2;ANNEEAUTREACC3;ANNEEAUTREACC4;ANNEEAUTREACC5;LIEUAUTREACC1;LIEUAUTREACC2;LIEUAUTREACC3;LIEUAUTREACC4;LIEUAUTREACC5;DESCRIPTIONAUTRESACC1;DESCRIPTIONAUTRESACC2;DESCRIPTIONAUTRESACC3;DESCRIPTIONAUTRESACC4;DESCRIPTIONAUTRESACC5;NBAUTRESACCCIRCUIT;NBAUTRESTOUTTERRAIN;EXPCYCLO;EXP125;EXPSUP125;ACCORDNEXTQ;CHOIXACC;RGPMTACC;RECUPANNEE;RECUPLIEU;RECUPANNE;RGPMTAC;CHOIX1;CHOIX2;CHOIX3;CHOIX4;CHOIX5;CHOIX6;CHOIX7;DESCRIPTION;RUPTURE;FAITS;ABS_REACTION;AUTRE_REACTION;PRECISIONREACTIONOUI;RECUL;PRECISIONREACTIONNON;IMPACTCOMPORTEMENT;AUTREUSAGER;REACTIONAUTREUSAGER;CONNAISSANCEREACTIONUSAGER;DIFFICULTES;AGGRAVATION;DIFFICULTES2;EMOTIONS1;EMOTIONS2;EMOTIONS3;EMOTIONS4;EMOTIONS5;EMOTIONS6;AUTRESENTIMENT;CLASSEMENTEMOTIONS1;CLASSEMENTEMOTIONS;CLASSEMENTEMOTIONS5;CLASSEMENTEMOTIONS6;CLASSEMENTEMOTIONS7;CLASSEMENTEMOTIONS8;CLASSEMENTEMOTIONS9;EXPLICATIONRESSENTI;BIENEQUIPE;ALLURE;ALLUREVITEDETAIL;ALLURELENTEDETAIL;SITUATIONPRESSE;SITUATIONDISTRAIT;SITUATIONCONFIANT;SITUATIONCONTROLE;SITUATIONLUDIQUE;SITUATIONPERF;SITUATIONSTRESS;SITUATIONFATIGUE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;CONTRIBUTION1;CONTRIBUTION2;CONTRIBUTION3;CONTRIBUTION4;CONTRIBUTION5;CONTRIBUTION6;CONTRIBUTION7;CONTRIBUTION8;CONTRIBUTION9;ROLEINFRA;ELEMENTINFRA1;ELEMENTINFRA2;ELEMENTINFRA3;ELEMENTINFRA4;ELEMENTINFRA5;ELEMENTINFRA6;ELEMENTINFRA7;ELEMENTINFRA8;ELEMENTINFRA9;ALCOOL;TXALCOOL;STUP;SEMAINE;MOMENTJOURNEE;TEMPS;CAUSEACC1;CAUSEACC2;CAUSEACC3;CAUSEACC4;CAUSEACC5;FORMATIONCAUSE;FORMATION1;FORMATION2;FORMATION3;FORMATION4;FORMATION5;TRAFIC;CHAUSSEE1;CHAUSSEE2;CHAUSSEE3;CHAUSSEE4;TYPEACC;BLESSURE;TETE;COU;THORAX;MEMBRESSUP;COLONNE;BASSIN;MEMBRESINF;HOPITAL;PLUS24H;TRAJET;TYPEROUTE;MOTIF;SENSTRAJET;PASSAGER;VITESSE;DESCEQ1;DESCEQ2;DESCEQ3;DESCEQ4;DESCEQ5;DESCEQ6;DESCEQ7;DESCEQ8;DESCEQ9;DESCEQ10;VEHICULEETE;VEHICULEAUTOMNE;VEHICULEPRINTEMPS;VEHICULEHIVER;VEHICULESEMAINE;VEHICULEWE;VEHMARQUE;VEHCYLINDREE;VEHMODELE;VEHSEGMENT;VEHSIDE;EQ2RMABS;EQ2RMCBS;EQ2RMABSCBS;EQ2RMREGULATEUR;EQ2RMLIMITEUR;EQ2RMPHARESDIRECT;EQ2RMCOUPURE;EQ2RMANTIPATINAGE;EQ2RMANTIXHEELING;EQ2RMSTABILILTE;VEHKM;POINTS;DUREE;AUTRE2RM;VEHPRECMARQUE;VEHPRECCYLINDREE;VEHPRECMODELE;VEHPRECSEGMENT;VEHPRECSIDE;TEMPS2RMPREC;FREQVEHPREC;DATE_NAISS;CSP;SOCIETAIRE;SALARIE;SECTEUR2RM;NBPERSFOYER;SITFAM;NBENF;TRNBENF1;TRNBENF2;TRNBENF3;TRNBENF4;NBAUTOFOYER;NBCYCLOFOYER;NBSCOOTFOYER;NBMOTOFOYER;NBTRIKEFOYER;NB2RMCONDUIT;MARQUE1;CYLINDREE1;MODELE1;SEGMENT1;SIDE1;ANMISECIRCU1;ASS1;FREQ1;USAGE1;NBKM1;GARAGE1;MARQUE2;CYLINDREE2;MODELE2;SEGMENT2;SIDE2;ANMISECIRCU2;ASS2;FREQ2;USAGE2;NBKM2;GARAGE2;MARQUE3;CYLINDREE3;MODELE3;SEGMENT3;SIDE3;ANMISECIRCU3;ASS3;FREQ3;USAGE3;NBKM3;GARAGE3;MARQUE4;CYLINDREE4;MODELE4;SEGMENT4;SIDE4;ANMISECIRCU4;ASS4;FREQ4;USAGE4;NBKM4;GARAGE4;MARQUE5;CYLINDREE5;MODELE5;SEGMENT5;SIDE5;ANMISECIRCU5;ASS5;FREQ5;USAGE5;NBKM5;GARAGE5;NBKMTOT;PERMIS1;PERMIS2;PERMIS3;PERMIS4;PERMIS5;PERMIS6;PERMIS7;PERMIS8;PERMIS9;ANPERMIS1;ANPERMIS6;ANPERMIS7;ANPERMIS2;ANPERMIS3;ANPERMIS8;ANPERMIS9;ANPERMIS4;ANPERMIS5
243;1395;;1;1;3;1993;;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;4;;;;;;1;3;1994;;;;;0;2;;;;;;0;2;;;;;;1;2;1992;;;;;0;3;;;;;;0;5;;;;;;0;1;;;;;;0;3;;;;;;0;1;;;;;;1;2;1996;2012;;;;Reims;Osny;;;;Arrêté derrière un véhicule qui laissait passer des piétons j'ai été percuté par l'arrière et projeté sur le véhicule devant moi par un véhicule qui n'avait pas vu que l'on était à l'arrêt.;Je suivais un véhicule qui a mis son clignotant à gauche et a serré l'axe médian, j'ai donc entame un dépassement par la droite et finalement le véhicule m'a coupé la route en tournant à gauche.;;;;0;0;23;0;0;1;41;9;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14DEC1970;7;1;;2;4;4;2;1;;;;2;1;0;1;0;1;DUCATI;999;999;Sportive;;2006;37;1;2;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000;3;4;;;;;;;;NRP;;;NRP;1992;;;1995;NRP
72;1399;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30AUG1971;6;1;;2;5;4;3;1;;;;2;0;0;1;0;1;HONDA;1100;PAN EUROPEAN;Routière / GT;;1997;37;2;2;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9000;4;3;2;;;;;;;NRP;;;1991;2005;;;1991;NRP
1200;1401;;1;0;3;;;;;;2;4;NSP;2014;;;;0;5;;;;;;0;4;;;;;;0;5;;;;;;0;5;;;;;;0;3;;;;;;0;3;;;;;;1;4;1990;;;;;0;5;;;;;;0;5;;;;;;0;2;;;;;;0;5;;;;;;0;5;;;;;;0;;;;;;;;;;;;;;;;;;;0;3;34;1;7;2;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28JUL1957;4;2;;2;2;3;;NSP;;;;8;0;1;3;0;2;PIAGGIO;250;MP3;Scooter;;2007;29;1;3;7500;;HONDA;600;TRANSALP;Trail / Supermotard;;1992;29;4;1;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10500;3;4;;;;;;;;NRP;;;NRP;1978;;;1976;NRP
1366;1440;;1;0;4;;;;;;0;4;;;;;;0;3;;;;;;0;3;;;;;;0;6;;;;;;0;3;;;;;;0;3;;;;;;0;4;;;;;;2;5;2010;2011;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;2;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;2;3;3;1;41;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15APR1994;10;1;;2;4;5;0;NSP;;;;2;2;0;2;0;1;YAMAHA;125;YZF-R;Sportive;;2011;37;2;1;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000;1;2;;;;;;;;2008;;;2010;NRP;;;NRP;NRP
365;1478;;1;0;2;;;;;;0;4;;;;;;0;6;;;;;;0;2;;;;;;0;5;;;;;;0;2;;;;;;0;2;;;;;;1;6;2005;;;;;0;6;;;;;;0;4;;;;;;0;2;;;;;;0;4;;;;;;0;4;;;;;;0;5;;;;;;0;;;;;;;;;;;;;;;;;;;2;2;8;1;36;8;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25JUL1986;11;2;;1;3;4;1;1;;;;1;1;0;1;0;1;KAWASAKI;600;ZX-6R NINJA;Sportive;;1995;2;1;2;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000;1;2;3;4;;;;;;2001;;;2003;2005;;;2008;NRP
2143;1484;;1;0;2;;;;;;0;2;;;;;;0;4;;;;;;0;3;;;;;;1;2;1995;;;;;0;4;;;;;;0;2;;;;;;1;5;1987;;;;;2;5;1978;1980;;;;0;4;;;;;;0;4;;;;;;0;2;;;;;;0;2;;;;;;0;5;;;;;;0;;;;;;;;;;;;;;;;;;;6;3;36;1;21;5;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15MAY1957;5;2;;2;4;4;2;4;;;;1;1;0;1;0;1;KAWASAKI;1000;Z 1000 IE;Roadster;;2011;29;1;2;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000;4;3;2;;;;;;;NRP;;;1978;1979;;;1981;NRP
272;1485;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10FEB1972;5;2;;2;3;4;1;4;;;;3;1;0;1;0;1;HONDA;1000;CB-F;Roadster;;2010;29;2;1;6500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6500;3;4;;;;;;;;NRP;;;NRP;2006;;;1990;NRP
1391;1543;;1;0;2;;;;;;1;2;2005;;;;;0;2;;;;;;0;2;;;;;;1;3;2003;;;;;0;2;;;;;;0;1;;;;;;0;2;;;;;;1;2;2002;;;;;0;2;;;;;;0;4;;;;;;0;3;;;;;;0;2;;;;;;0;2;;;;;;0;;;;;;;;;;;;;;;;;;;3;0;18;0;;NRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20OCT1976;5;2;;2;2;3;;NSP;;;;2;0;0;1;0;1;TRIUMPH;900;SPEED TRIPLE;Roadster;;1998;10;3;2;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;4;3;;;;;;;;NRP;;;NRP;1997;;;1995;NRP
220;1587;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04JUL1989;7;1;;2;5;5;0;NSP;;;;4;0;0;2;0;1;TRIUMPH;675;STREET TRIPLE R;Roadster;;2011;37;2;2;14500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14500;3;4;;;;;;;;NRP;;;NRP;2010;;;2008;NRP
1602;1611;;1;0;4;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;1;5;2012;;;;;0;4;;;;;;0;5;;;;;;0;4;;;;;;1;6;2010;;;;;0;1;;;;;;0;2;;;;;;0;1;;;;;;0;3;;;;;;0;2;;;;;;0;;;;;;;;;;;;;;;;;;;12;2;10;1;21;5;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07AUG1981;4;1;;2;2;3;;NSP;;;;1;0;0;1;0;1;BUELL;1200;X1 LIGHTNING;Roadster;;2001;37;1;2;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15000;3;4;;;;;;;;NRP;;;NRP;2007;;;1999;NRP
1370;1615;;1;0;4;;;;;;0;3;;;;;;0;5;;;;;;0;3;;;;;;0;6;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;3;4;1995;2006;2007;;;0;4;;;;;;0;5;;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;0;;;;;;;;;;;;;;;;;;;4;2;20;0;;NRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07APR1952;9;2;;2;2;3;;NSP;;;;1;1;0;1;0;1;HONDA;800;VFR-F;Routière / GT;;1998;29;2;1;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000;3;4;;;;;;;;NRP;;;NRP;1974;;;1996;NRP
890;1617;166;1;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;2;;;;;;0;6;;;;;;0;5;;;;;;0;1;;;;;;0;3;;;;;;0;6;;;;;;1;4;2013;;;;;0;4;;;;;;0;2;;;;;;1;6;2001;;;;;1;4;2003;;;;;0;;;;;;;;;;;;;;;;;;;0;0;17;1;46;10;2013;;2013;"Vous circuliez sur un axe constitué d’au moins "" 2 X 2 voies "" (en urbain, périphérique, autoroute, RN …). Un véhicule vous a coupé la route en changeant de voie pour se placer sur celle de droite.";3;;;;;;;En circulation très fortement encombrée, sur le tronçon commun A4 A86 entre Créteil et Maisons-Alfort, alors que je circulais sur la file de droite qui roulait relativement vite (environ 40 km/h sur un axe limité à 90, ce qui est plutôt bien pour la région), un automobiliste comme tant d'autres, excédé d'être coincé une fin d'après-midi sur la deuxième file, voyant un espace vide entre deux voiture décide de s'y glisser en accélérant du même coup, sans prendre le temps de vérifier correctement s'il n'y a pas un 2RM dans cet espace vide. Les automobilistes n'ayant aucune formation sur les divers véhicules qu'ils peuvent rencontrer lors de la circulation ne s'attendent pas à voir quelque chose de plus petit qu'une voiture, et ma petite 1300 FJR a malheureusement dû céder sous l'assaut de la voiture. Par réflexe, j'ai évité je ne sais comment la chute et sauvé ma jambe gauche de l'écrasement. Du dépanneur à l'expert, en passant par le concessionnaire, tous m'ont demandé comment ça allait car tous pensait que la jambe avait souffert tant le côté gauche de la moto était abimé. Je l'ai certainement levée avant le choc, je ne sais plus, c'était un geste réflexe comme on apprend à en avoir avec la pratique sur les axes routiers franciliens et de bons stages post-permis (style AFDM). L'automobiliste était tout simplement ennuyé car il serait en retard chez lui, le remplissage de constat prenant du temps. En conclusion, à ne surtout pas oublier, toutes les voitures de police qui sont passées à côté sans daigner même sécuriser les lieux de l'accident et encore moins s'inquiéter s'il y avait un blessé. La force de l'habitude en région parisienne nous apprend qu'il vaut mieux se débrouiller seul que de penser à la police (plusieurs dépôt de plainte, dont un contre la police, et jamais aucune nouvelle reçu des suites de mes plaintes). On comprend mieux les banlieues.;Une voiture changeant brusquement de file de circulation sans pour autant avoir l'intention de quitter l'autoroute.;"Je vois les roues de la voiture braquer dans ma direction et la voiture accélérer pour venir me percuter (comme si elle voulait me heurter volontairement). Je klaxonne tout en basculant la moto côté droit pour me déporter et éviter le choc, la voiture continue dans sa lancée, comme si de rien n'était. La voiture vient trop vite, je n'ai pas le temps de me déporter assez, tout en freinant (vive le freinage couplé) je balance donc la moto dans l'autre sens(vers la gauche), contre la voiture, pour ne pas me faire propulser dans les rails guillotines et prendre appui au maximum sur la voiture. Entendant le bruit de tôle froissée (de sa voiture ?), l'automobiliste cesse sa manoeuvre de catapultage et se décide tout de même à freiner Je frotte sur la voiture et parviens à m'arrêter ""normalement"", sans chute.";AUT|J'ai eu un série  de réactions qui ont sauvé la moto, ma jambe, voire plus si j'étais passé sous les guillotines.;0;;;Car si j'avais agi autrement, je serai soit handicapé, soit mort.;2;1;2;;Défaut de formation de l'automobiliste.;1;S'il avait cessé sa manoeuvre dès le moment où j'ai commencé à klaxonner, il n'y aurait pas eu d'accident.;1;4;;;;;;2;;;1;;;;Je n'ai pas cessé, sur les quelques secondes qu'a duré l'événement, de penser aux conséquences des divers manoeuvres possibles (à ma connaissance).;4;3;;;1;1;3;4;1;1;2;1;1;4;4;4;4;10;;;;;;;;;1;AUT|guillotines sur le bord droit de la chaussée;;;;;;;;2;2;;2;1;1;1;0;100;0;0;0;1;AUT|les automobilstes ne sont pas assez formés;;;;;3;1;;;;1;;;;;;;;;;;1;3;1;2;0;40;1;2;3;4;7;9;;;;;4;4;4;4;4;2;YAMAHA;1300;FJR ABS;Routière / GT;2;0;0;0;1;1;1;1;1;1;1;NSP;12;4;1;SUZUKI;650;FREEWIND (XF);ROADSTER;2;4;4;27DEC1971;5;1;;2;3;4;1;1;;;;1;0;0;1;0;1;YAMAHA;1300;FJR;Routière / GT;;2010;37;1;2;19000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19000;3;4;;;;;;;;NRP;;;NRP;1991;;;1990;NRP
967;1634;;1;1;5;2011;;;;;0;2;;;;;;0;4;;;;;;0;5;;;;;;0;4;;;;;;0;4;;;;;;0;3;;;;;;1;4;2008;;;;;0;3;;;;;;0;5;;;;;;1;5;2010;;;;;0;3;;;;;;0;5;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;10;1;1;1;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16DEC1977;7;2;;2;3;4;1;1;;;;1;0;0;1;0;1;DUCATI;800;SPORT IE;Routière / GT;;2004;18;3;1;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15000;3;4;;;;;;;;NRP;;;NRP;2005;;;1996;NRP
1797;1673;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10NOV1985;7;2;;2;2;3;;NSP;;;;2;0;0;1;0;1;SUZUKI;600;BANDIT-N;Roadster;;2002;31;2;2;16000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16000;3;4;;;;;;;;NRP;;;NRP;2010;;;2003;NRP
219;1683;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13NOV1958;7;2;;2;2;3;;NSP;;;;3;0;0;2;0;2;HONDA;1500;GOLD WING;Routière / GT;;2000;23;1;2;20000;;KAWASAKI;900;VN;Custom;;2006;2;3;1;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21500;3;4;;;;;;;;NRP;;;NRP;1979;;;1978;NRP
934;1692;;1;0;5;;;;;;2;3;2010;2011;;;;0;5;;;;;;0;4;;;;;;0;5;;;;;;0;5;;;;;;0;3;;;;;;0;4;;;;;;1;6;2010;;;;;0;6;;;;;;0;6;;;;;;0;4;;;;;;0;5;;;;;;0;5;;;;;;1;1;2011;;;;;rumersheim;;;;;"des terres pleins central était en construction a l""entree du village, je circuler de nuit et les travaux n'était pas indiquer, j'ai percuter le terre plein!";;;;;0;0;1;0;10;1;71;15;2011;rumersheim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01APR1982;8;2;;2;2;2;1;1;;;;2;0;0;1;0;1;HONDA;954;CBR-RR FIREBLADE;Sportive;;2001;2;2;1;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000;3;4;;;;;;;;NRP;;;NRP;2003;;;2001;NRP
1862;1705;;1;0;2;;;;;;1;6;2004;;;;;1;5;2013;;;;;0;5;;;;;;1;5;1999;;;;;0;4;;;;;;0;5;;;;;;0;6;;;;;;3;6;1999;2004;2014;;;0;5;;;;;;0;4;;;;;;0;4;;;;;;0;5;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;10;3;15;1;6;2;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05NOV1982;7;2;;2;3;4;1;1;;;;2;0;0;2;0;1;YAMAHA;1000;R1 IE (YZF-R1);Sportive;;2007;40;1;2;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25000;4;3;;;;;;;;NRP;;;NRP;2000;;;2003;NRP
